               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040972,            0.047666,            0.033474,             0.65756,             0.23625,             0.12071,             0.07238,            0.035916,            0.033395,            0.029122,            0.070159,           0.0033157,           0.0033157
                   1,            0.043974,            0.046008,            0.034414,             0.66414,             0.23066,             0.10977,            0.058161,            0.040263,            0.033868,            0.031085,            0.040093,           0.0065832,           0.0065832
                   2,            0.049154,            0.047953,            0.034657,              0.6322,             0.19646,            0.097733,            0.050717,            0.042741,            0.034984,            0.033185,           0.0099611,           0.0097847,           0.0097847
                   3,            0.048964,            0.044866,            0.035558,             0.66017,             0.18642,            0.095421,            0.049908,            0.042411,            0.035807,            0.034578,            0.009703,            0.009703,            0.009703
                   4,            0.050843,            0.046525,            0.036092,             0.63334,             0.16234,            0.085294,            0.040882,            0.045847,            0.035418,             0.03484,            0.009703,            0.009703,            0.009703
                   5,            0.050179,            0.046683,            0.035917,             0.66034,             0.18021,            0.091632,            0.045607,            0.043651,            0.036085,            0.035456,            0.009604,            0.009604,            0.009604
                   6,            0.049956,            0.047077,            0.035434,             0.64337,             0.19361,            0.095936,            0.049453,            0.041685,            0.036368,            0.032665,            0.009505,            0.009505,            0.009505
                   7,            0.048685,            0.050008,            0.035363,             0.64678,             0.16655,             0.10681,            0.057908,            0.044209,            0.036627,            0.034326,            0.009406,            0.009406,            0.009406
                   8,            0.048514,            0.049454,            0.033729,             0.71208,             0.13584,            0.080506,            0.036782,             0.04794,            0.036647,            0.035872,            0.009307,            0.009307,            0.009307
                   9,            0.048666,            0.047931,            0.034348,             0.69769,             0.18637,            0.099583,            0.049883,              0.0439,            0.036167,            0.032398,            0.009208,            0.009208,            0.009208
                  10,            0.049077,            0.048154,             0.03361,             0.57673,             0.16867,            0.098028,            0.050549,            0.043267,            0.036988,            0.033059,            0.009109,            0.009109,            0.009109
