               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10417,            0.044743,            0.059272,             0.39958,            0.077141,            0.010209,           0.0033242,            0.082088,            0.043428,            0.056317,            0.070323,           0.0032975,           0.0032975
                   1,            0.074598,             0.05139,            0.053403,            0.028309,            0.052689,            0.024106,            0.010326,            0.073979,            0.041557,            0.052802,            0.040257,           0.0065652,           0.0065652
                   2,            0.068602,            0.050535,            0.051043,             0.31771,             0.11949,             0.04261,             0.01826,            0.060555,            0.039572,            0.048612,            0.010125,           0.0097669,           0.0097669
                   3,            0.064011,            0.052032,            0.047797,              0.2042,             0.21462,            0.062328,             0.02493,            0.058984,            0.048057,            0.046608,            0.009703,            0.009703,            0.009703
                   4,            0.059491,            0.049494,            0.044289,             0.35526,             0.24445,            0.091922,            0.047759,            0.053227,            0.043754,            0.041453,            0.009703,            0.009703,            0.009703
                   5,            0.057039,            0.049227,            0.041012,             0.11302,             0.28451,             0.10325,            0.057387,            0.051032,            0.047966,            0.040711,            0.009604,            0.009604,            0.009604
                   6,            0.056383,            0.051557,            0.037622,             0.35373,              0.2934,             0.11357,            0.051837,            0.054641,            0.043751,            0.036981,            0.009505,            0.009505,            0.009505
                   7,            0.053799,            0.049382,            0.035246,             0.19725,              0.2942,              0.1592,            0.089503,              0.0498,            0.039115,            0.033455,            0.009406,            0.009406,            0.009406
                   8,            0.053121,            0.048039,            0.033446,             0.40666,             0.25583,             0.15788,            0.079903,             0.04999,              0.0414,            0.034122,            0.009307,            0.009307,            0.009307
                   9,            0.052717,            0.048868,             0.03251,             0.15679,             0.31086,             0.14424,            0.079477,            0.050148,            0.041133,            0.037666,            0.009208,            0.009208,            0.009208
                  10,            0.051866,            0.048403,              0.0304,             0.23476,             0.31087,             0.17996,             0.10647,            0.047709,            0.040504,            0.031007,            0.009109,            0.009109,            0.009109
                  11,            0.052152,            0.048631,            0.029469,             0.22052,             0.30457,             0.18117,            0.086926,            0.050587,            0.039722,            0.031238,             0.00901,             0.00901,             0.00901
                  12,            0.050084,            0.049993,              0.0283,             0.20978,             0.36982,             0.20697,              0.1235,            0.047127,            0.045581,             0.02942,            0.008911,            0.008911,            0.008911
                  13,            0.049734,            0.049158,            0.026805,             0.40211,             0.29304,             0.18991,             0.10267,            0.048572,            0.039745,            0.030439,            0.008812,            0.008812,            0.008812
                  14,            0.049045,            0.048331,            0.026325,             0.29401,             0.33768,             0.20986,              0.1264,            0.045936,            0.042899,            0.028681,            0.008713,            0.008713,            0.008713
                  15,            0.049689,            0.048272,            0.025033,              0.2814,             0.32346,             0.21444,             0.11606,            0.048666,            0.040752,            0.026354,            0.008614,            0.008614,            0.008614
                  16,             0.04914,            0.047524,            0.024367,             0.24988,              0.3343,             0.23196,             0.13898,            0.045757,             0.04026,            0.025169,            0.008515,            0.008515,            0.008515
                  17,            0.047533,            0.045581,            0.023306,             0.38406,             0.28609,              0.2125,             0.12549,            0.045696,            0.045871,            0.028013,            0.008416,            0.008416,            0.008416
                  18,             0.04703,            0.049125,            0.023329,             0.27029,             0.39526,              0.2464,             0.16101,            0.044075,            0.041182,            0.025208,            0.008317,            0.008317,            0.008317
                  19,            0.047212,            0.048067,            0.022589,             0.21801,              0.4097,              0.2363,             0.15313,            0.045066,            0.043693,            0.026514,            0.008218,            0.008218,            0.008218
                  20,             0.04733,            0.047296,            0.021934,              0.3446,             0.38253,             0.27894,             0.16663,            0.044912,             0.04062,            0.023577,            0.008119,            0.008119,            0.008119
                  21,            0.045243,            0.045076,            0.021017,             0.23021,             0.36462,             0.22998,             0.15226,            0.045317,            0.039279,            0.025133,             0.00802,             0.00802,             0.00802
                  22,            0.045001,            0.044554,            0.020773,             0.29587,             0.38448,             0.25327,             0.16098,            0.044635,            0.038436,            0.023152,            0.007921,            0.007921,            0.007921
                  23,            0.044484,            0.043586,            0.019978,             0.29975,             0.41916,             0.26222,              0.1565,             0.04507,            0.039375,            0.022346,            0.007822,            0.007822,            0.007822
                  24,            0.044849,            0.045665,             0.02055,             0.25734,             0.36579,             0.25744,             0.16343,            0.043227,            0.043441,            0.023071,            0.007723,            0.007723,            0.007723
                  25,            0.044115,            0.045126,            0.019527,             0.23093,             0.46288,              0.2617,             0.17179,            0.042703,            0.043752,            0.021314,            0.007624,            0.007624,            0.007624
                  26,            0.044119,            0.043773,            0.019492,             0.29079,             0.38939,             0.26584,             0.17098,            0.042805,            0.039557,            0.022166,            0.007525,            0.007525,            0.007525
