               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11741,            0.071956,            0.062065,           0.0047033,             0.12652,           0.0042282,           0.0011045,             0.10236,            0.081791,            0.058984,              0.0793,              0.0023,              0.0023
                   1,              0.1002,            0.077804,            0.055413,             0.64445,            0.073215,            0.015043,           0.0040751,            0.097597,              0.1148,            0.052905,            0.057653,           0.0046535,           0.0046535
                   2,            0.087763,            0.076595,            0.050492,             0.27607,             0.21741,            0.031472,           0.0097632,            0.083452,            0.093475,            0.049695,            0.035959,           0.0069594,           0.0069594
                   3,            0.085417,            0.074864,            0.049882,             0.27682,             0.19595,            0.030247,           0.0093278,            0.088187,            0.091572,            0.048639,            0.014218,           0.0092178,           0.0092178
                   4,            0.080535,            0.074824,            0.049602,             0.16621,             0.34073,            0.053998,            0.017894,            0.074816,            0.072563,            0.047961,            0.009604,            0.009604,            0.009604
                   5,            0.074061,            0.076276,            0.048295,             0.16722,             0.38485,            0.054129,            0.018864,            0.071616,            0.089836,            0.047388,            0.009604,            0.009604,            0.009604
                   6,            0.072707,            0.080773,            0.047427,             0.32145,             0.31776,            0.094342,            0.036641,            0.061024,            0.094002,            0.047156,            0.009505,            0.009505,            0.009505
                   7,            0.068342,            0.081824,            0.047173,             0.36441,             0.27135,             0.12028,            0.046138,            0.059644,            0.076225,            0.046307,            0.009406,            0.009406,            0.009406
                   8,            0.065732,             0.07852,            0.047165,             0.25085,             0.26033,             0.12398,            0.052934,            0.058033,            0.076202,            0.045746,            0.009307,            0.009307,            0.009307
                   9,            0.063197,            0.077392,            0.046147,             0.37433,             0.28536,             0.13921,            0.066474,            0.055466,            0.075268,             0.04483,            0.009208,            0.009208,            0.009208
                  10,            0.059992,            0.074427,            0.045082,             0.33861,              0.2324,             0.12743,            0.061164,            0.055395,            0.078907,            0.043878,            0.009109,            0.009109,            0.009109
