               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038794,            0.056233,            0.013741,             0.39491,             0.24248,             0.16817,             0.11097,             0.05743,             0.13957,            0.038161,            0.070811,           0.0032432,           0.0032432
                   1,            0.043895,            0.059033,            0.014506,             0.22856,             0.28274,             0.16007,            0.086451,            0.063324,             0.13254,             0.03866,            0.040746,           0.0065115,           0.0065115
                   2,            0.048112,            0.059863,            0.015056,             0.22964,             0.26567,             0.16183,            0.091021,            0.059646,             0.12407,            0.036369,            0.010615,           0.0097137,           0.0097137
                   3,            0.048425,            0.058173,             0.01637,             0.21405,             0.29905,             0.16196,            0.088305,            0.059541,             0.12862,            0.037287,            0.009703,            0.009703,            0.009703
                   4,            0.046938,            0.057117,            0.016798,              0.3439,             0.19342,             0.14281,            0.085531,            0.060883,             0.13696,            0.041572,            0.009703,            0.009703,            0.009703
                   5,              0.0445,            0.060308,            0.017559,              0.2076,             0.24647,             0.15545,            0.074333,             0.06288,             0.13954,            0.043918,            0.009604,            0.009604,            0.009604
                   6,            0.045184,            0.060765,            0.018017,             0.34412,             0.29108,             0.16276,            0.091091,            0.059146,             0.11701,            0.039072,            0.009505,            0.009505,            0.009505
                   7,            0.045784,            0.063622,            0.017739,             0.22986,              0.2528,             0.15193,            0.090685,            0.059161,             0.13061,            0.038388,            0.009406,            0.009406,            0.009406
                   8,            0.044604,            0.062064,            0.017906,             0.18815,             0.27925,             0.14436,            0.081451,              0.0592,             0.11421,            0.039512,            0.009307,            0.009307,            0.009307
                   9,            0.045015,            0.061284,            0.017151,             0.33624,             0.26848,             0.14775,            0.084439,            0.059187,             0.12672,            0.038068,            0.009208,            0.009208,            0.009208
                  10,            0.045763,            0.061958,            0.017653,             0.33381,             0.27568,             0.15177,            0.087567,            0.058006,             0.12095,            0.038123,            0.009109,            0.009109,            0.009109
                  11,            0.046473,            0.060609,            0.017966,             0.19045,             0.31256,              0.1546,            0.094139,            0.059657,             0.12064,            0.036946,             0.00901,             0.00901,             0.00901
                  12,            0.046705,            0.067043,            0.017243,             0.21637,             0.30151,             0.17367,            0.091508,             0.05959,             0.12987,            0.038626,            0.008911,            0.008911,            0.008911
                  13,            0.044063,            0.057859,            0.017241,             0.20455,              0.3152,             0.16324,             0.10347,            0.058034,             0.12168,            0.037939,            0.008812,            0.008812,            0.008812
                  14,            0.044649,            0.060241,            0.016736,             0.21451,             0.31668,             0.17363,             0.10033,            0.058731,             0.12257,            0.036459,            0.008713,            0.008713,            0.008713
                  15,            0.045444,            0.062363,            0.016297,             0.34129,             0.26474,             0.15518,            0.088132,            0.059434,             0.11806,            0.041393,            0.008614,            0.008614,            0.008614
                  16,            0.044746,            0.061586,            0.016573,             0.38593,             0.26019,             0.17218,             0.10788,            0.057607,             0.12311,            0.040006,            0.008515,            0.008515,            0.008515
                  17,            0.043809,            0.058669,            0.015612,             0.33225,             0.30248,             0.16092,            0.091446,            0.058018,             0.12397,             0.04029,            0.008416,            0.008416,            0.008416
                  18,             0.04461,            0.060969,             0.01543,             0.22561,             0.32506,             0.17056,             0.10139,            0.058038,             0.13245,            0.041208,            0.008317,            0.008317,            0.008317
                  19,            0.043642,            0.059385,            0.015819,             0.34286,             0.30631,             0.17705,             0.10593,            0.057651,             0.12315,            0.040448,            0.008218,            0.008218,            0.008218
                  20,            0.043781,            0.058551,            0.016041,             0.35787,             0.25445,             0.17419,             0.10053,            0.057177,             0.11332,            0.040485,            0.008119,            0.008119,            0.008119
                  21,            0.042631,            0.060024,            0.015567,             0.34379,             0.30056,             0.17601,             0.10054,            0.058781,             0.13643,            0.039553,             0.00802,             0.00802,             0.00802
                  22,            0.045273,            0.060637,            0.015553,               0.215,             0.35874,             0.16865,            0.097327,            0.060412,             0.13289,            0.038596,            0.007921,            0.007921,            0.007921
